id,review
1,"The product is excellent. Setup was straightforward and performance exceeded expectations."
2,"Delivery took too long and packaging was damaged. Disappointed with the experience."
3,"Good value for the price. Could use better documentation but overall satisfied."
4,"Absolutely love it. Works perfectly for my use case and customer support was responsive."
5,"Battery life is poor and the device overheats. Would not recommend."
6,"Solid product. Minor software bugs on first boot but resolved after update."
7,"Outstanding build quality. Feels premium and durable. Very happy with my purchase."
8,"Instructions were unclear and I had to watch a YouTube tutorial to set it up."
9,"Exceeded my expectations. Fast shipping, great packaging, works flawlessly."
10,"Mediocre performance. It does the job but nothing special compared to competitors."
